years,prices,pe1,pe2,pe3,pe4,pe5,pe6,pe7
2002,128000,83643.56436,91247.52475,101386.1386,111524.7525,141940.5941,159683.1683,174891.0891
2003,156000,88150.68493,96164.38356,106849.3151,117534.2466,149589.0411,168287.6712,184315.0685
2004,180000,91104.29448,99386.50307,110429.4479,121472.3926,154601.227,173926.3804,190490.7975
2005,191000,93655.27489,102169.3908,113521.5453,124873.6999,158930.1634,178796.4339,195824.6657
2006,205000,97338.1295,106187.0504,117985.6115,129784.1727,165179.8561,185827.3381,203525.1799
2007,223000,102779.3296,112122.905,124581.0056,137039.1061,174413.4078,196215.0838,214902.2346
2008,228000,109201.7417,119129.1727,132365.7475,145602.3222,185312.0464,208476.0522,228330.9144
2009,226000,117448.8189,128125.9843,142362.2047,156598.4252,199307.0866,224220.4724,245574.8031
2010,251000,121096.4912,132105.2632,146783.6257,161461.9883,205497.076,231184.2105,253201.7544
2011,245000,120133.7296,131054.9777,145616.6419,160178.3061,203863.2987,229346.211,251188.7073
2012,246000,120088.7574,131005.9172,145562.1302,160118.3432,203786.9822,229260.355,251094.6746
2013,251000,123075.7801,134264.4874,149182.7637,164101.0401,208855.8692,234962.8529,257340.2675
2014,267000,126776.9784,138302.1583,153669.0647,169035.9712,215136.6906,242028.777,265079.1367
2015,277000,124029.8507,135305.2917,150339.213,165373.1343,210474.8982,236784.2605,259335.1425
2016,283000,123043.4783,134229.249,149143.61,164057.971,208801.054,234901.1858,257272.7273
2017,280000,118918.9189,129729.7297,144144.1441,158558.5586,201801.8018,227027.027,248648.6486
2018,283000,118968.1529,129783.4395,144203.8217,158624.2038,201885.3503,227121.0191,248751.5924
2019,282000,120388.0983,131332.4709,145924.9677,160517.4644,204294.9547,229831.8241,251720.5692
2020,303000,128521.8509,140205.6555,155784.0617,171362.4679,218097.6864,245359.8972,268727.5064
2021,324000,119597.3154,130469.7987,144966.443,159463.0872,202953.0201,228322.1477,250067.1141
2022,340000,135018.0505,147292.4188,163658.2431,180024.0674,229121.5403,257761.7329,282310.4693
2023,330000,133783.7838,145945.9459,162162.1622,178378.3784,227027.027,255405.4054,279729.7297
